CustomerId,Surname,Gender,Age,GeographyId
15565701,Ferri,Female,39,3
15565706,Akobundu,Male,35,3
15565714,Cattaneo,Male,47,2
15565779,Kent,Female,30,1
15565796,Docherty,Male,48,1
15565806,Toosey,Male,38,2
15565878,Bates,Male,29,3
15565879,Riley,Female,28,2
15565891,Dipietro,Male,39,2
15565996,Arnold,Male,44,2
15566030,Tu,Male,41,1
15566091,Thomsen,Female,32,3
15566111,Estes,Male,39,2
15566139,Ts'ui,Female,37,2
15566156,Franklin,Female,44,1
15566211,Hsu,Female,41,1
15566251,Ferrari,Female,37,2
15566253,Manning,Male,44,1
15566269,Chialuka,Male,25,2
15566292,Okwuadigbo,Male,36,3
15566295,Sanders,Female,33,2
15566312,Jolly,Female,42,3
15566378,Tillman,Male,48,2
15566380,Drury,Female,33,3
15566467,Hannah,Female,32,1
15566494,Fang,Male,45,2
15566495,Hanson,Female,24,3
15566531,Iloerika,Male,33,1
15566543,Aldridge,Male,44,3
15566563,Duigan,Female,30,2
15566594,McKenzie,Male,23,3
15566633,Freeman,Male,55,1
15566660,Cole,Female,41,2
15566689,Chimaoke,Male,66,3
15566708,Chidalu,Female,45,2
15566735,Obialo,Female,36,1
15566740,Nazarova,Male,51,3
15566790,McIntyre,Male,28,2
15566843,Gotch,Male,20,1
15566891,Kinder,Female,41,1
15566894,Gray,Male,39,2
15566958,Li Fonti,Male,39,3
15566988,Iqbal,Female,46,1
15567013,De Luca,Male,33,3
15567063,Manna,Female,34,1
15567078,Kovaleva,Female,27,2
15567114,McGarry,Male,35,2
15567147,Ratten,Male,40,3
15567246,Selwyn,Male,32,1
15567328,Ch'en,Male,38,3
15567333,Archambault,Female,31,2
15567335,Allsop,Female,42,2
15567339,Shaw,Male,73,2
15567367,Tao,Female,42,1
15567383,Slone,Female,44,1
15567399,Enderby,Male,43,1
15567422,Chiazagomekpele,Male,42,2
15567431,Kodilinyechukwu,Male,64,2
15567437,Emenike,Female,30,1
15567442,Ibezimako,Female,75,2
15567446,Coffman,Male,39,1
15567486,Li,Female,41,3
15567506,Cheatham,Female,40,1
15567557,Chien,Male,27,2
15567630,Bruce,Male,40,1
15567725,Kodilinyechukwu,Female,46,2
15567778,Genovese,Female,54,1
15567802,Childs,Female,34,3
15567832,Shih,Female,40,2
15567834,Nieves,Male,49,2
15567839,Gordon,Male,42,2
15567855,Chukwufumnanya,Female,29,2
15567860,Burrows,Female,44,3
15567893,Lei,Male,33,1
15567897,Chiazagomekpere,Male,23,1
15567919,Lazarev,Male,37,1
15567923,Barese,Female,30,2
15567980,Frater,Female,46,1
15567991,Obiuto,Male,31,3
15567993,Palmer,Male,28,3
15568006,Ukaegbunam,Female,45,2
15568025,Hsueh,Male,51,2
15568032,Moore,Male,31,1
15568044,Butusov,Female,31,2
15568046,Izuchukwu,Male,24,2
15568088,Jamieson,Male,44,1
15568104,Zubarev,Female,26,2
15568106,L?,Female,38,2
15568120,Lacross,Female,37,2
15568162,Sung,Male,53,3
15568164,Istomin,Female,34,2
15568238,Diaz,Male,20,3
15568240,Ting,Female,30,1
15568326,Kenenna,Female,44,2
15568328,Black,Female,22,2
15568360,Rolon,Female,41,3
15568429,Mitchell,Female,46,3
15568449,Fu,Male,38,3
15568469,Buckley,Male,43,2
15568487,Gorshkov,Male,35,2
15568506,Forbes,Female,31,1
15568519,Wood,Male,41,2
15568562,Moss,Male,40,2
15568573,Graham,Female,51,1
15568595,Fleming,Male,64,2
15568742,Parkes,Female,41,2
15568748,Poole,Male,45,1
15568819,Chiganu,Female,42,1
15568834,Howells,Male,27,3
15568849,Bryan,Female,31,3
15568876,Hughes,Female,34,2
15568878,Cheng,Male,34,3
15568885,Scott,Female,34,1
15568904,Kruglova,Male,34,1
15568915,Bailey,Male,38,2
15568953,Alexeieva,Male,27,2
15568963,Naquin,Male,34,1
15568982,Hao,Female,24,2
15569050,Farrell,Male,45,2
15569079,Hagins,Male,48,1
15569098,Winifred,Male,44,2
15569120,Lucas,Male,30,2
15569178,Kharlamov,Female,18,2
15569187,Fleming,Male,35,3
15569209,Amaechi,Female,34,3
15569222,Mendes,Male,32,2
15569247,Mitchell,Female,57,3
15569248,Milanesi,Female,43,2
15569249,Howarth,Female,55,2
15569264,Yobanna,Male,32,2
15569266,Rahman,Male,28,2
15569274,Pisano,Male,49,1
15569364,Victor,Male,36,2
15569394,Bailey,Male,24,2
15569410,Tang,Female,33,1
15569423,Cunningham,Male,41,3
15569430,Burrows,Female,36,3
15569432,Macleod,Female,48,2
15569438,Mai,Male,36,1
15569446,Tu,Female,34,2
15569451,Miller,Male,35,2
15569452,Butler,Female,58,1
15569503,Yeh,Male,44,2
15569526,Morales,Male,40,2
15569571,Davydova,Female,46,1
15569572,Sopuluchi,Male,42,2
15569590,Yoo,Male,42,1
